Adobo,Lumpia,Sinigang,Nilaga,Bicol Express,Sisig,Kare-Kare, Pancit,Chopseuy,Tinola
Pork,Lumpia Wrapper,Pork,Beef,Pork,Pork,Beef,Rice Noodles,Cabbage,Chicken
Soy sauce,Ground pork,Water,Water,Coconut Milk,Chicken Liver,Peanut Butter,Pork,Carrots,Ginger
Oil,egg,Tamarind,Potatoes,Coconut Cream,Onion,Peanuts,Chicken,Green Beans,Garlic
Vinegar,carrots,Tomatoes,Corn,Chili Peppers,Chili Peppers,Eggplant,Shrimp,Cauliflower,Onion
Garlic,Garlic,Onion,Cabbage,Shrimp Paste,Calamansi,String Beans,Carrots,Broccoli,Green Papaya
Pepper,Onion,Radish,Pechay,Garlic,Mayonnaise,Pechay,Cabbage,Pork,Chili Leaves
,Celery,Eggplant,Onion,Onion,Soy Sauce,Banana Heart,Green Beans,Shrimp,Fish Sauce
,Salt,String Beans,Pepper,Ginger,Black Pepper,Shrimp Paste,Onion,Bell Pepper,Black Pepper
,Pepper,Kangkong,Fish Sauce,Fish Sauce,Salt,Garlic,Garlic,Garlic,Water
,,Green Chili,,Black Pepper,,Onion,Soy Sauce,Onion,
,,Fish Sauce,,,,,Fish Sauce,Soy Sauce,
,,,,,,,Black Pepper,Oyster Sauce,
